city_id,city,Cloudiness,Humidity,Latitude,Max Temp,Wind Speed
0,bethel,75,93,60.79,64.4,8.05
1,clyde river,90,70,70.47,48.2,10.29
2,hobart,40,66,-42.88,48.2,9.17
3,la ronge,90,93,55.1,57.2,3.36
4,saskylakh,100,39,71.97,68.18,4.56
5,aykhal,75,28,65.95,80.6,6.71
6,faanui,42,72,-16.48,77.9,7.9
7,leshukonskoye,100,95,64.9,41.9,9.84
8,barrow,100,85,-38.31,46.4,4.29
9,poum,20,42,41.28,68.0,10.29
10,ilesha,100,93,7.14,73.94,3.56
11,sambava,96,56,-14.27,80.24,5.93
12,bluff,8,40,-23.58,63.86,8.39
13,husavik,3,88,50.56,59.0,6.85
14,ribeira grande,20,83,38.52,71.6,3.36
15,pangnirtung,100,58,66.15,56.48,4.43
16,puerto baquerizo moreno,94,83,-0.9,70.7,9.93
17,vila velha,75,83,-3.71,78.8,5.82
18,dikson,100,97,73.51,31.64,8.1
19,vaini,75,94,15.34,75.2,11.41
20,ponta do sol,0,74,-20.63,49.46,2.93
21,saint george,40,47,39.45,78.8,6.93
22,kaitangata,0,87,-46.28,46.99,3.15
23,port elizabeth,90,94,39.31,75.0,5.82
24,gillette,1,67,44.29,62.6,18.34
25,avera,90,100,33.19,77.0,3.36
26,micheweni,57,81,-4.97,77.36,18.12
27,busselton,11,63,-33.64,57.99,12.68
28,puerto escondido,100,72,15.86,76.28,3.4
29,mar del plata,0,84,-46.43,39.2,10.74
30,rawson,0,70,-43.3,46.4,12.06
31,longyearbyen,75,81,78.22,46.4,4.7
32,rikitea,15,84,-23.12,73.22,17.13
33,tasiilaq,0,70,65.61,42.8,6.93
34,ubinskoye,0,56,55.31,71.24,4.5
35,provideniya,0,49,64.42,65.84,3.11
36,luba,100,75,17.32,83.66,4.32
37,ushuaia,90,86,-54.81,37.4,3.29
38,cape town,40,82,-33.93,61.0,12.75
39,namibe,0,77,-15.19,69.8,11.01
40,baruun-urt,65,29,46.68,80.42,7.45
41,thompson,75,87,55.74,50.0,2.8
42,belaya gora,63,34,68.54,83.66,1.86
43,yurkivka,75,82,48.69,62.01,13.42
44,albany,1,100,42.65,71.6,1.28
45,punta arenas,90,100,-53.16,37.4,11.41
46,lebu,58,60,8.96,68.0,4.23
47,ahipara,6,75,-35.17,58.64,7.29
48,kapaa,1,78,22.08,78.8,11.41
49,yellowknife,40,81,62.45,50.0,5.82
50,jamestown,99,79,-33.21,53.06,15.77
51,pizarro,96,80,4.95,78.8,3.85
52,fort nelson,20,81,58.81,50.0,3.36
53,butaritari,98,70,3.07,84.92,5.99
54,mendoza,0,86,-32.89,39.2,1.66
55,kahului,40,80,20.89,78.8,16.84
56,sitka,100,77,37.17,69.01,3.0
57,omboue,100,87,-1.57,73.04,11.34
58,port alfred,0,34,-33.59,80.01,4.0
59,mataura,0,95,-46.19,43.0,3.0
60,bosaso,0,29,11.28,104.0,9.17
61,pecos,1,50,31.42,78.8,9.17
62,yatou,75,94,3.63,77.0,1.12
63,muroto,75,88,33.37,78.8,6.93
64,martil,20,65,35.62,77.0,14.99
65,qaanaaq,100,57,77.48,41.9,6.62
66,cervo,35,79,-22.19,48.74,5.01
67,chokurdakh,93,76,70.62,67.46,14.27
68,moses lake,90,56,47.13,71.6,6.93
69,yerbogachen,64,33,61.28,83.48,7.9
70,san policarpo,0,68,12.18,85.1,4.52
71,yumen,73,11,40.29,90.68,19.95
72,atuona,100,81,-9.8,80.42,17.63
73,banyo,100,97,6.75,62.96,1.25
74,arica,90,63,-18.48,62.6,2.24
75,krasnyye baki,100,81,57.13,57.74,1.74
76,nome,1,100,30.04,82.0,3.36
